,data_type,stream_size,zfp_rate,cache_size,is_zfp,Function,Best Rate MB/s,Avg time,Min time,Max time
291,float,33554432,64,0,False,Triad,12010.2,0.033646,0.033526,0.033758
292,float,33554432,64,0,True,Copy,73.3,3.75789,3.662498,3.840124
293,float,33554432,64,0,True,Scale,72.4,3.782957,3.709238,3.895551
294,float,33554432,64,0,True,Add,87.0,4.817007,4.628914,4.961857
295,float,33554432,64,0,True,Triad,86.3,4.831708,4.663054,4.913396
296,float,33554432,128,0,False,Copy,11693.4,0.023044,0.022956,0.023192
297,float,33554432,128,0,False,Scale,11699.6,0.023029,0.022944,0.023159
298,float,33554432,128,0,False,Add,12343.0,0.032729,0.032622,0.032886
299,float,33554432,128,0,False,Triad,12291.8,0.03282,0.032758,0.032906
300,float,33554432,128,0,True,Copy,72.8,3.778745,3.686641,3.859701
301,float,33554432,128,0,True,Scale,71.9,3.804964,3.732805,3.913413
302,float,33554432,128,0,True,Add,86.6,4.831471,4.651955,4.929404
303,float,33554432,128,0,True,Triad,85.9,4.863552,4.68642,4.943007
304,float,33554432,256,0,False,Copy,11371.0,0.023652,0.023607,0.023819
305,float,33554432,256,0,False,Scale,11355.2,0.023701,0.02364,0.023757
306,float,33554432,256,0,False,Add,12008.4,0.033609,0.033531,0.033793
307,float,33554432,256,0,False,Triad,12005.2,0.03359,0.03354,0.033688
308,float,33554432,256,0,True,Copy,70.4,3.895059,3.811366,3.973198
309,float,33554432,256,0,True,Scale,69.9,3.917302,3.840374,4.03481
310,float,33554432,256,0,True,Add,83.7,4.988994,4.810743,5.068808
311,float,33554432,256,0,True,Triad,82.6,5.023282,4.87407,5.102173
312,float,33554432,512,0,False,Copy,11734.4,0.022968,0.022876,0.023081
313,float,33554432,512,0,False,Scale,11615.0,0.023202,0.023111,0.023474
314,float,33554432,512,0,False,Add,12337.4,0.032754,0.032637,0.033072
315,float,33554432,512,0,False,Triad,12325.2,0.032789,0.032669,0.033098
316,float,33554432,512,0,True,Copy,52.8,5.180174,5.08657,5.262178
317,float,33554432,512,0,True,Scale,52.8,5.277763,5.08882,5.845537
318,float,33554432,512,0,True,Add,59.9,6.929728,6.725476,7.284109
319,float,33554432,512,0,True,Triad,58.6,6.973367,6.869942,7.270154
320,float,67108864,4,0,False,Copy,11271.7,0.047763,0.04763,0.047865
321,float,67108864,4,0,False,Scale,11275.5,0.047726,0.047614,0.047884
322,float,67108864,4,0,False,Add,11839.8,0.068136,0.068017,0.068305
323,float,67108864,4,0,False,Triad,11837.2,0.06824,0.068032,0.068559
324,float,67108864,4,0,True,Copy,81.8,6.747495,6.559562,6.899316
325,float,67108864,4,0,True,Scale,81.0,6.752159,6.629806,6.889093
326,float,67108864,4,0,True,Add,97.4,8.63153,8.268075,8.833993
327,float,67108864,4,0,True,Triad,96.9,8.647486,8.307487,8.846862
328,float,67108864,8,0,False,Copy,11317.3,0.05838,0.047438,0.075643
329,float,67108864,8,0,False,Scale,11317.6,0.060568,0.047437,0.083764
330,float,67108864,8,0,False,Add,11907.4,0.088619,0.067631,0.120187
331,float,67108864,8,0,False,Triad,11891.0,0.081312,0.067724,0.110739
332,float,67108864,8,0,True,Copy,82.0,6.765196,6.543737,6.913438
333,float,67108864,8,0,True,Scale,81.1,6.755764,6.622588,6.872801
334,float,67108864,8,0,True,Add,95.2,8.955664,8.456686,10.986469
335,float,67108864,8,0,True,Triad,97.3,8.647561,8.27816,8.890779
336,float,67108864,16,0,False,Copy,11352.7,0.047542,0.04729,0.047643
337,float,67108864,16,0,False,Scale,11355.1,0.047624,0.04728,0.047722
338,float,67108864,16,0,False,Add,11916.3,0.068141,0.06758,0.069243
339,float,67108864,16,0,False,Triad,11836.8,0.068152,0.068034,0.068453
340,float,67108864,16,0,True,Copy,82.0,6.745746,6.54473,6.923081
341,float,67108864,16,0,True,Scale,81.0,6.77271,6.626046,6.923218
342,float,67108864,16,0,True,Add,97.6,8.623557,8.249679,8.838337
343,float,67108864,16,0,True,Triad,97.3,8.638452,8.276218,8.830842
344,float,67108864,32,0,False,Copy,11299.0,0.04757,0.047515,0.047686
345,float,67108864,32,0,False,Scale,11265.5,0.047711,0.047656,0.047819
346,float,67108864,32,0,False,Add,11864.0,0.067936,0.067878,0.068102
347,float,67108864,32,0,False,Triad,11832.3,0.068243,0.06806,0.068577
348,float,67108864,32,0,True,Copy,73.5,7.503557,7.30561,7.686469
349,float,67108864,32,0,True,Scale,72.4,7.561095,7.419856,7.782593
350,float,67108864,32,0,True,Add,87.0,9.613423,9.257069,9.790131
351,float,67108864,32,0,True,Triad,86.4,9.675574,9.316046,9.874286
352,float,67108864,64,0,False,Copy,11250.4,0.047871,0.04772,0.048301
353,float,67108864,64,0,False,Scale,11216.8,0.048002,0.047863,0.048275
354,float,67108864,64,0,False,Add,11808.2,0.068375,0.068199,0.068629
355,float,67108864,64,0,False,Triad,11781.6,0.068537,0.068353,0.068987
356,float,67108864,64,0,True,Copy,73.3,7.519498,7.326486,7.6764
357,float,67108864,64,0,True,Scale,72.4,7.558719,7.412997,7.782155
358,float,67108864,64,0,True,Add,86.9,9.630793,9.2714,9.827191
359,float,67108864,64,0,True,Triad,86.2,9.664894,9.337387,9.838333
360,float,67108864,128,0,False,Copy,11308.0,0.047703,0.047477,0.047884
361,float,67108864,128,0,False,Scale,11268.9,0.047717,0.047642,0.047838
362,float,67108864,128,0,False,Add,11855.1,0.068162,0.067929,0.068334
363,float,67108864,128,0,False,Triad,11796.3,0.068504,0.068268,0.068921
364,float,67108864,128,0,True,Copy,72.8,7.570311,7.377275,7.724365
365,float,67108864,128,0,True,Scale,71.9,7.609868,7.464731,7.838584
366,float,67108864,128,0,True,Add,86.1,9.702741,9.353689,9.880573
